PLAYER NAME,TEAM,ROLE,MATCHES,NOT OUTs,RUNS,HIGHEST RUN,BATTING AVG,BALLS FACED,BATTING S.R,100s,50s,4s,6s,CATCHES,BALLS BOWLED,RUNS CONCEEDED,WICKETS,BEST BOWLING,BOWLING AVG,ECONOMY,BOWLING S.R
Glenn Maxwell,bengaluru,Batsman,89,11,1728,95,23.35,1127,153.32,0,8,139,101,33,558,804,19,2/15,42.31,8.64,29.36
AB de Villiers,bengaluru,Batsman,176,38,5056,133*,40.77,3318,152.38,3,40,406,245,111,0,0,0,0/0,-,-,-
Virat Kohli,bengaluru,Batsman,199,31,6076,113,37.97,4659,130.41,5,40,524,205,80,251,368,4,2/25,92,8.79,62.75
Devdutt Padikkal,bengaluru,Batsman,21,1,668,101*,33.4,507,131.75,1,5,73,17,10,0,0,0,0/0,-,-,-
Rajat Patidar,bengaluru,Bowler,4,0,71,31,17.75,62,114.51,0,0,3,3,1,0,0,0,0/0,-,-,-
Kyle Jamieson,bengaluru,Bowler,7,2,59,16*,19.66,41,143.9,0,0,5,3,2,144,221,9,3/1,24.55,9.2,16
Harshal Patel,bengaluru,Bowler,55,9,163,36*,10.86,117,139.31,0,0,8,11,13,1094,1606,63,5/27,25.49,8.8,17.36
Washington Sundar,bengaluru,Bowler,42,10,217,35,13.56,195,111.28,0,0,17,6,9,750,867,27,3/16,32.11,6.93,27.77
Shahbaz Ahmed,bengaluru,Bowler,7,1,24,14,8,24,100,0,0,1,1,5,66,76,6,3/7,12.66,6.9,11
Mohammed Siraj,bengaluru,Bowler,42,10,58,14,14.5,66,87.87,0,0,4,2,13,872,1275,45,4/1,28.33,8.77,19.37
Yuzvendra Chahal,bengaluru,Bowler,106,11,30,8*,5,72,41.66,0,0,0,0,23,2268,2913,125,4/25,23.3,7.7,18.14
Daniel Sams,bengaluru,Bowler,5,1,6,3*,3,8,75,0,0,0,0,3,108,153,1,1/24,153,8.5,108
Dan Christian,bengaluru,Bowler,43,9,449,39,16.03,382,117.53,0,0,22,19,23,813,1077,34,2/10,31.67,7.94,23.91
Navdeep Saini,bengaluru,Bowler,27,3,31,12*,10.33,35,88.57,0,0,3,0,5,574,803,17,2/24,47.23,8.39,33.76
Aaron Finch,bengaluru,Batsman,87,7,2005,88*,25.7,1570,127.7,0,14,204,75,27,43,67,1,1/11,67,9.34,43
Josh Philippe,bengaluru,Bowler,5,1,78,33,19.5,77,101.29,0,0,9,1,0,0,0,0,0/0,-,-,-
Gurkeerat Mann Singh,bengaluru,Batsman,41,8,511,65,21.29,422,121.09,0,2,55,11,18,78,97,5,2/15,19.4,7.46,15.6
Isuru Udana,bengaluru,Bowler,10,1,15,10*,5,11,136.36,0,0,1,1,3,174,282,8,2/1,35.25,9.72,21.75
Parthiv Patel,bengaluru,Batsman,139,11,2848,81,22.6,2358,120.78,0,13,365,49,69,0,0,0,0/0,-,-,-
Akshdeep Nath,bengaluru,Bowler,14,0,90,24,9,98,91.83,0,0,7,2,2,0,0,0,0/0,-,-,-
Colin de Grandhomme,bengaluru,Bowler,25,5,303,40,18.93,225,134.66,0,0,18,18,6,216,319,6,3/4,53.16,8.86,36
Umesh Yadav,bengaluru,Bowler,121,24,122,24*,8.71,128,95.31,0,0,11,4,30,2522,3579,119,4/24,30.07,8.51,21.19
Prayas Ray Barman,bengaluru,Bowler,1,0,19,19,19,24,79.16,0,0,2,0,0,24,56,0,0/56,-,14,-
Pawan Negi,bengaluru,Bowler,50,9,365,36,14.03,289,126.29,0,0,27,16,15,716,939,34,4/18,27.61,7.86,21.05
Tim Southee,bengaluru,Bowler,40,6,115,36*,14.37,90,127.77,0,0,8,4,17,888,1293,28,3/24,46.17,8.73,31.71
Brendon McCullum,bengaluru,Batsman,109,5,2880,158*,27.69,2186,131.74,2,13,293,130,37,0,0,0,0/0,-,-,-
Corey Anderson,bengaluru,Batsman,30,7,538,95*,24.45,423,127.18,0,3,40,31,11,297,518,11,2/18,47.09,10.46,27
Travis Head,bengaluru,Batsman,10,3,205,75*,29.28,148,138.51,0,1,12,8,2,48,81,2,2/1,40.5,10.12,24
Sreenath Aravind,bengaluru,Bowler,38,8,59,14*,14.75,57,103.5,0,0,7,0,8,760,1039,45,4/14,23.08,8.2,16.88
Aniket Choudhary,bengaluru,Batsman,5,2,25,15*,25,20,125,0,0,1,1,0,101,144,5,2/17,28.8,8.55,20.2
Vishnu Vinod,bengaluru,Bowler,3,0,19,9,6.33,26,73.07,0,0,1,1,0,0,0,0,0/0,-,-,-
Sachin Baby,bengaluru,Bowler,18,1,137,33,15.22,101,135.64,0,0,11,5,5,10,8,2,2/4,4,4.8,5
David Wiese,bengaluru,Batsman,15,4,127,47*,31.75,90,141.11,0,0,12,4,6,278,402,16,4/1,25.12,8.67,17.37
